          (   3,    3) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   2,    2)
          (   1,    1) (   1,    1) (   4,    4) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   3,    3)
          (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   4,    4) (   1,    1) (   4,    4) (   1,    1) (   3,    3)
          (   2,    2) (   0,    1) (   1,    1) (   2,    1) (   2,    2) (   4,    4) (   2,    2) (   3,    3) (   2,    2) (   1,    1)
          (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   3,    3) (   3,    3) (   2,    2)
          (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   3,    3) (   3,    3)
          (   1,    1) (   1,    1) (   0,    1) (   1,    1) (   4,    3) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   1,    1)
          (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   5,    5) (   1,    1) (   1,    1) (   1,    1)
          (   1,    1) (   1,    1) (   1,    1) (   5,    5) (   3,    3) (   3,    3) (   2,    2) (   1,    1) (   3,    3) (   3,    3)
          (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   3,    3) (   2,    2) (   4,    4) (   3,    3) (   1,    1) (   1,    1)
          (   2,    2) (   1,    1) (   3,    3) (   1,    1) (   1,    1) (   3,    3) (   1,    1) (   2,    2) (   1,    1) (   1,    1)
          (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   0,    1) (   1,    1) (   2,    1) (   3,    3) (   3,    3) (   3,    3)
          (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   3,    3) (   2,    2) (   1,    1)
          (   1,    1) (   2,    2) (   1,    1) (   0,    1) (   2,    2) (   1,    0) (   1,    1) (   0,    1) (   2,    2) (   2,    1)
          (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   4,    4) (   1,    1) (   3,    3) (   2,    2) (   2,    2)
          (   1,    1) (   4,    4) (   1,    1) (   2,    2) (   2,    2) (   3,    3) (   1,    1) (   1,    1) (   2,    2) (   2,    2)
          (   3,    3) (   2,    2) (   4,    4) (   3,    3) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   3,    3)
          (   4,    4) (   2,    2) (   1,    1) (   2,    2) (   3,    3) (   3,    3) (   1,    1) (   1,    1) (   3,    3) (   3,    3)
          (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   3,    3) (   2,    2) (   2,    2)
          (   2,    2) (   3,    3) (   3,    3) (   3,    3) (   1,    1) (   3,    3) (   3,    3) (   1,    1) (   2,    2) (   2,    2)
          (   2,    2) (   1,    1) (   1,    1) (   4,    4) (   2,    2) (   2,    2) (   3,    3) (   1,    1) (   3,    3) (   2,    2)
          (   4,    4) (   3,    3) (   1,    1) (   3,    3) (   1,    1) (   3,    3) (   2,    2) (   2,    2) (   3,    3) (   2,    2)
          (   1,    1) (   2,    2) (   1,    1) (   3,    3) (   1,    1) (   2,    2) (   3,    3) (   1,    1) (   2,    2) (   1,    1)
          (   2,    2) (   2,    2) (   3,    3) (   2,    2) (   2,    2) (   3,    3) (   1,    1) (   2,    2) (   4,    4) (   2,    2)
          (   2,    2) (   2,    2) (   3,    3) (   2,    2) (   2,    2) (   2,    2) (   3,    3) (   1,    1) (   1,    1) (   2,    2)
          (   2,    2) (   1,    1) (   3,    3) (   2,    2) (   3,    3) (   1,    1) (   4,    4) (   4,    4) (   1,    1) (   1,    1)
          (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   3,    3) (   1,    1) (   4,    4) (   3,    3) (   4,    4) (   2,    2)
          (   4,    4) (   2,    2) (   3,    3) (   2,    2) (   1,    1) (   3,    3) (   2,    2) (   3,    3) (   1,    1) (   1,    1)
          (   1,    1) (   2,    2) (   3,    3) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   3,    3)
          (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   4,    4) (   3,    3) (   1,    1) (   2,    2) (   1,    1) (   3,    3)
          (   3,    3) (   2,    2) (   3,    3) (   2,    2) (   1,    1) (   3,    3) (   2,    2) (   2,    2) (   1,    1) (   1,    1)
          (   3,    3) (   1,    1) (   1,    1) (   2,    2) (   3,    3) (   3,    3) (   2,    2) (   2,    2) (   2,    2) (   2,    2)
          (   1,    1) (   3,    3) (   3,    3) (   3,    3) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   1,    1)
          (   3,    3) (   1,    1) (   3,    3) (   1,    1) (   1,    1) (   3,    3) (   2,    2) (   1,    1) (   1,    1) (   2,    2)
         
node   6 sent_total   1301  recv_total   1295

node   7  (   0,    0) (   1,    0) (   0,    0) (   1,    1) (   2,    1) (   2,    2) (   3,    3) (   1,    1) (   4,    4) (   2,    2)
          (   2,    2) (   2,    2) (   3,    3) (   3,    3) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   3,    3) (   1,    1)
          (   3,    3) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   3,    3) (   3,    3) (   1,    1)
          (   5,    5) (   2,    2) (   3,    3) (   2,    2) (   1,    1) (   3,    3) (   2,    2) (   2,    2) (   1,    1) (   3,    3)
          (   2,    2) (   3,    3) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   3,    3) (   5,    5)
          (   1,    1) (   1,    1) (   3,    3) (   2,    3) (   3,    3) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   1,    1)
          (   1,    1) (   1,    1) (   2,    2) (   4,    4) (   1,    2) (   1,    1) (   2,    1) (   2,    2) (   2,    2) (   1,    1)
          (   1,    1) (   2,    2) (   2,    2) (   1,    2) (   3,    3) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   0,    1)
          (   1,    1) (   2,    1) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   1,    2) (   2,    2) (   2,    2)
          (   1,    1) (   0,    1) (   0,    1) (   1,    1) (   2,    1) (   1,    0) (   1,    1) (   2,    2) (   1,    2) (   2,    1)
          (   2,    1) (   1,    1) (   2,    3) (   0,    1) (   0,    0) (   1,    0) (   2,    1) (   2,    2) (   1,    1) (   0,    1)
          (   1,    0) (   1,    1) (   1,    1) (   3,    2) (   0,    1) (   1,    1) (   1,    0) (   0,    0) (   1,    2) (   0,    0)
          (   2,    1) (   2,    1) (   2,    2) (   1,    1) (   3,    3) (   2,    2) (   2,    2) (   0,    1) (   1,    1) (   2,    1)
          (   3,    3) (   2,    2) (   3,    3) (   4,    4) (   2,    2) (   3,    3) (   1,    1) (   1,    2) (   1,    2) (   1,    1)
          (   1,    0) (   0,    1) (   2,    2) (   1,    0) (   1,    0) (   3,    3) (   2,    2) (   2,    1) (   1,    1) (   2,    2)
          (   0,    0) (   4,    4) (   2,    2) (   3,    3) (   1,    2) (   1,    0) (   1,    2) (   1,    1) (   1,    1) (   2,    2)
          (   0,    1) (   1,    0) (   1,    0) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    0) (   1,    2) (   3,    3)
          (   2,    1) (   2,    2) (   3,    3) (   1,    0) (   1,    2) (   2,    2) (   1,    2) (   0,    1) (   2,    1) (   3,    2)
          (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   2,    1) (   2,    2) (   1,    1) (   1,    1) (   6,    6) (   3,    3)
          (   3,    3) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   3,    4) (   1,    1) (   1,    1) (   1,    1) (   2,    2)
          (   1,    1) (   3,    3) (   1,    2) (   1,    2) (   1,    0) (   2,    2) (   1,    2) (   2,    2) (   1,    0) (   2,    2)
          (   1,    1) (   2,    2) (   3,    2) (   2,    2) (   1,    2) (   3,    3) (   1,    2) (   1,    0) (   2,    2) (   2,    2)
          (   3,    3) (   1,    1) (   1,    2) (   3,    3) (   2,    2) (   0,    1) (   1,    2) (   0,    0) (   1,    0) (   0,    0)
          (   0,    1) (   2,    1) (   2,    2) (   1,    2) (   1,    0) (   1,    0) (   3,    3) (   1,    1) (   1,    1) (   1,    1)
          (   1,    0) (   2,    3) (   2,    1) (   2,    2) (   0,    1) (   1,    1) (   3,    2) (   2,    2) (   3,    3) (   1,    1)
          (   1,    1) (   2,    3) (   1,    2) (   1,    1) (   0,    1) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   1,    2)
          (   1,    1) (   1,    1) (   2,    2) (   2,    1) (   1,    2) (   1,    2) (   2,    1) (   2,    2) (   2,    1) (   1,    1)
          (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   1,    1)
          (   1,    0) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   3,    3) (   3,    3) (   1,    1) (   1,    1)
          (   4,    4) (   2,    2) (   2,    3) (   1,    1) (   2,    2) (   1,    1) (   0,    1) (   0,    1) (   2,    2) (   2,    1)
          (   1,    1) (   2,    1) (   1,    1) (   2,    2) (   3,    3) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   2,    2)
          (   2,    2) (   3,    3) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   1,    1)
          (   1,    1) (   3,    3) (   2,    2) (   3,    3) (   1,    1) (   3,    3) (   1,    1) (   1,    1) (   3,    3) (   4,    4)
          (   1,    1) (   2,    2) (   3,    3) (   2,    2) (   2,    2) (   4,    4) (   1,    1) (   3,    3) (   3,    3) (   2,    2)
          (   2,    2) (   1,    1) (   1,    1) (   0,    1) (   2,    2) (   2,    1) (   1,    1) (   2,    2) (   1,    1) (   3,    3)
          (   2,    2) (   2,    2) (   3,    3) (   3,    3) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2)
          (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   3,    3) (   1,    1) (   3,    3)
          (   2,    2) (   1,    1) (   3,    3) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   2,    2)
          (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   0,    1) (   2,    2) (   3,    2) (   1,    1)
          (   2,    2) (   3,    3) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   2,    2)
          (   3,    3) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   3,    3) (   3,    3) (   3,    3) (   1,    1) (   2,    2)
          (   1,    1) (   3,    3) (   1,    1) (   2,    2) (   3,    3) (   4,    4) (   2,    2) (   2,    2) (   3,    3) (   2,    2)
          (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    1)
          (   3,    3) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   3,    3) (   2,    2) (   4,    4)
          (   2,    2) (   1,    1) (   2,    2) (   3,    3) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   1,    1)
          (   4,    4) (   2,    2) (   3,    3) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   3,    3) (   1,    1) (   2,    2)
          (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   3,    3) (   1,    1) (   1,    1) (   1,    1) (   0,    1) (   2,    2)
          (   3,    2) (   1,    1) (   3,    3) (   2,    2) (   4,    4) (   3,    3) (   2,    2) (   1,    1) (   2,    2) (   3,    3)
          (   1,    1) (   1,    1) (   3,    3) (   2,    2) (   1,    1) (   1,    1) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   1,    1) (   2,    2) (   3,    3) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   2,    2)
          (   3,    3) (   1,    1) (   3,    3) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   2,    2)
          (   1,    1) (   3,    3) (   2,    2) (   2,    2) (   2,    2) (   3,    3) (   3,    3) (   1,    1) (   1,    1) (   2,    2)
          (   1,    1) (   1,    1) (   2,    2) (   0,    1) (   0,    1) (   2,    1) (   2,    1) (   4,    4) (   2,    2) (   1,    1)
          (   1,    1) (   2,    2) (   3,    3) (   3,    3) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   5,    5) (   1,    1)
          (   5,    5) (   3,    3) (   2,    2) (   4,    4) (   2,    2) (   5,    5) (   1,    1) (   1,    1) (   1,    1) (   2,    2)
          (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   2,    2)
          (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   3,    3) (   2,    2) (   3,    3)
          (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   3,    3) (   1,    1) (   3,    3) (   4,    4) (   1,    1) (   2,    2)
          (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   1,    1)
          (   1,    1) (   3,    3) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   4,    4) (   1,    1) (   1,    1)
          (   2,    2) (   1,    1) (   2,    2) (   3,    3) (   3,    3) (   2,    2) (   2,    2) (   3,    3) (   3,    3) (   4,    4)
          (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   2,    2)
          (   1,    1) (   2,    2) (   2,    2) (   4,    4) (   2,    2) (   3,    3) (   1,    1) (   1,    1) (   1,    1) (   2,    2)
          (   2,    2) (   5,    5) (   3,    3) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   3,    3) (   1,    1)
          (   4,    4) (   1,    1) (   2,    2) (   3,    3) (   1,    1) (   2,    2) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   2,    2) (   2,    2) (   1,    1) (   3,    3) (   2,    2) (   3,    3) (   1,    1) (   1,    1) (   2,    2) (   1,    1)
          (   1,    1) (   1,    1) (   4,    4) (   2,    2) (   3,    3) (   2,    2) (   1,    1) (   3,    3) (   3,    3) (   2,    2)
          (   2,    2) (   3,    3) (   2,    2) (   3,    3) (   1,    1) (   2,    2) (   1,    1) (   3,    3) (   1,    1) (   1,    1)
          (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   3,    3) (   2,    2) (   2,    2) (   5,    5)
          (   1,    1) (   5,    5) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   2,    2)
         
node   7 sent_total   1249  recv_total   1249

node   8  (   0,    0) (   1,    0) (   0,    0) (   2,    2) (   2,    1) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   2,    2)
          (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   0,    1) (   1,    1) (   1,    0) (   0,    1) (   2,    2)
          (   2,    1) (   2,    2) (   2,    2) (   1,    1) (   3,    3) (   1,    1) (   3,    3) (   3,    3) (   1,    1) (   3,    3)
          (   1,    1) (   3,    3) (   2,    2) (   2,    2) (   2,    2) (   3,    3) (   3,    3) (   3,    3) (   2,    2) (   1,    1)
          (   1,    1) (   2,    2) (   3,    3) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   3,    3) (   1,    1)
          (   2,    2) (   1,    1) (   2,    3) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   2,    2)
          (   3,    3) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    0) (   2,    2)
          (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   0,    1) (   1,    1)
          (   1,    0) (   2,    2) (   2,    2) (   1,    1) (   2,    3) (   1,    1) (   1,    0) (   2,    2) (   2,    1) (   3,    4)
          (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   3,    3) (   1,    3) (   1,    1) (   3,    2) (   2,    2)
          (   2,    2) (   1,    1) (   1,    2) (   3,    3) (   1,    1) (   1,    1) (   1,    2) (   2,    2) (   3,    3) (   0,    1)
          (   2,    2) (   2,    1) (   1,    1) (   3,    3) (   1,    2) (   3,    3) (   1,    2) (   2,    2) (   4,    3) (   3,    5)
          (   1,    0) (   1,    0) (   1,    2) (   2,    2) (   2,    1) (   2,    1) (   0,    1) (   2,    3) (   1,    0) (   2,    2)
          (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   3,    3) (   2,    1) (   2,    1) (   1,    1) (   2,    2)
          (   2,    3) (   2,    2) (   1,    0) (   1,    1) (   1,    1) (   3,    3) (   2,    2) (   3,    3) (   1,    2) (   1,    2)
          (   2,    2) (   2,    1) (   4,    4) (   2,    3) (   2,    2) (   2,    2) (   1,    1) (   3,    3) (   1,    2) (   1,    2)
          (   1,    1) (   1,    0) (   2,    2) (   2,    2) (   2,    2) (   1,    3) (   1,    1) (   1,    0) (   2,    2) (   3,    3)
          (   5,    5) (   1,    1) (   1,    1) (   1,    1) (   1,    2) (   0,    0) (   1,    1) (   3,    2) (   1,    1) (   0,    1)
          (   2,    1) (   1,    0) (   2,    1) (   2,    2) (   1,    1) (   3,    3) (   2,    2) (   0,    1) (   1,    1) (   1,    0)
          (   3,    3) (   1,    1) (   3,    3) (   2,    2) (   2,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   3,    3)
          (   2,    1) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   2,    1) (   4,    4) (   1,    1) (   1,    2) (   0,    1)
          (   1,    1) (   2,    2) (   1,    1) (   4,    4) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   2,    2)
          (   3,    3) (   1,    1) (   3,    3) (   1,    1) (   1,    0) (   2,    2) (   2,    2) (   1,    1) (   4,    4) (   1,    1)
          (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   3,    3) (   3,    3) (   2,    2) (   3,    3) (   3,    3) (   1,    1)
          (   1,    1) (   3,    3) (   2,    2) (   2,    3) (   4,    4) (   1,    1) (   2,    3) (   1,    1) (   1,    0) (   2,    2)
          (   1,    1) (   3,    2) (   0,    1) (   2,    2) (   2,    1) (   2,    2) (   3,    3) (   1,    0) (   2,    2) (   3,    3)
          (   1,    1) (   1,    1) (   5,    4) (   2,    3) (   3,    3) (   1,    2) (   2,    1) (   2,    2) (   2,    3) (   2,    2)
          (   1,    1) (   0,    1) (   2,    2) (   1,    0) (   3,    2) (   1,    2) (   0,    1) (   0,    0) (   1,    0) (   0,    0)
          (   1,    1) (   1,    1) (   2,    2) (   1,    0) (   1,    1) (   2,    1) (   2,    2) (   1,    1) (   3,    3) (   1,    1)
          (   1,    1) (   3,    3) (   1,    1) (   4,    3) (   3,    3) (   1,    1) (   1,    1) (   2,    3) (   1,    1) (   0,    2)
          (   1,    1) (   1,    0) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   1,    1)
          (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   3,    3) (   3,    3) (   1,    1)
          (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   3,    3) (   2,    2) (   1,    1) (   3,    3)
          (   5,    5) (   2,    2) (   1,    1) (   2,    2) (   3,    3) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1)
          (   1,    1) (   1,    1) (   1,    1) (   0,    1) (   2,    2) (   2,    1) (   2,    2) (   1,    1) (   2,    2) (   3,    3)
          (   1,    1) (   1,    1) (   1,    1) (   3,    3) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   1,    1)
          (   4,    4) (   2,    2) (   1,    1) (   3,    3) (   1,    1) (   2,    2) (   3,    3) (   3,    3) (   3,    3) (   2,    2)
          (   2,    2) (   2,    2) (   1,    1) (   4,    4) (   4,    4) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   3,    3)
          (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   3,    3) (   2,    2) (   4,    4) (   1,    1) (   3,    3) (   2,    2)
          (   2,    2) (   4,    4) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   2,    2)
          (   2,    2) (   3,    3) (   1,    1) (   3,    3) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   3,    3)
          (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   3,    3) (   2,    2) (   3,    3) (   4,    4) (   2,    2) (   2,    2)
          (   2,    2) (   4,    4) (   1,    1) (   1,    1) (   2,    2) (   4,    4) (   2,    2) (   4,    4) (   2,    2) (   1,    1)
          (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   3,    3)
          (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    2)
          (   1,    1) (   3,    3) (   2,    2) (   1,    1) (   3,    3) (   3,    3) (   2,    2) (   2,    2) (   3,    3) (   3,    3)
          (   2,    2) (   3,    3) (   4,    4) (   3,    3) (   1,    1) (   4,    4) (   3,    3) (   1,    1) (   3,    3) (   1,    1)
          (   1,    1) (   5,    5) (   1,    1) (   1,    1) (   2,    2) (   3,    3) (   2,    2) (   1,    1) (   1,    1) (   1,    1)
          (   3,    3) (   1,    1) (   1,    1) (   1,    1) (   3,    3) (   3,    3) (   1,    1) (   1,    1) (   2,    2) (   2,    2)
          (   3,    3) (   5,    5) (   2,    2) (   3,    3) (   1,    1) (   3,    3) (   3,    3) (   2,    2) (   2,    2) (   2,    2)
          (   2,    2) (   2,    2) (   2,    2) (   5,    5) (   2,    2) (   3,    3) (   2,    2) (   2,    2) (   2,    2) (   4,    4)
          (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   3,    3) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   3,    3)
          (   1,    1) (   2,    2) (   1,    1) (   3,    3) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   1,    1)
          (   1,    1) (   1,    1) (   0,    1) (   2,    2) (   5,    4) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   1,    1)
          (   3,    3) (   1,    1) (   3,    3) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   2,    2)
          (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   3,    3) (   1,    1) (   2,    2)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   3,    3) (   1,    1)
          (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   3,    3) (   1,    1) (   3,    3) (   2,    2) (   2,    2) (   3,    3)
          (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   3,    3) (   3,    3) (   2,    2) (   1,    1) (   3,    3) (   2,    2)
          (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   4,    4) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   2,    2)
          (   1,    1) (   3,    3) (   2,    2) (   3,    3) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   4,    4) (   2,    2)
          (   1,    1) (   3,    3) (   2,    2) (   5,    5) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   2,    2)
          (   4,    4) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   4,    4) (   2,    2) (   2,    2) (   3,    3) (   3,    3)
          (   1,    1) (   2,    2) (   3,    3) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   2,    2)
          (   1,    1) (   4,    4) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   2,    2)
          (   2,    2) (   2,    2) (   5,    5) (   3,    3) (   2,    2) (   1,    1) (   3,    3) (   2,    2) (   4,    4) (   3,    3)
          (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   5,    5) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   1,    1)
          (   4,    4) (   1,    1) (   3,    3) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   3,    3) (   1,    1)
          (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   2,    2)
          (   2,    2) (   1,    1) (   4,    4) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   3,    3) (   3,    3) (   1,    1)
         
node   8 sent_total   1306  recv_total   1305

node   9  (   0,    0) (   0,    0) (   1,    0) (   0,    0) (   1,    1) (   1,    0) (   1,    1) (   1,    1) (   1,    1) (   2,    2)
          (   1,    1) (   5,    5) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   3,    3) (   1,    1) (   4,    4)
          (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   3,    3) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   1,    1)
          (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   3,    3) (   1,    1) (   1,    1) (   3,    3)
          (   2,    2) (   3,    3) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   3,    3) (   2,    2) (   1,    1) (   2,    2)
          (   1,    1) (   2,    2) (   1,    1) (   1,    2) (   3,    3) (   2,    1) (   5,    5) (   3,    3) (   0,    1) (   1,    1)
          (   1,    0) (   1,    1) (   0,    1) (   0,    1) (   3,    2) (   3,    2) (   1,    1) (   1,    2) (   3,    3) (   2,    1)
          (   1,    1) (   2,    1) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   1,    0) (   3,    3) (   1,    1)
          (   3,    3) (   1,    1) (   2,    2) (   3,    2) (   3,    3) (   2,    3) (   1,    1) (   1,    0) (   1,    2) (   1,    1)
          (   2,    1) (   1,    0) (   0,    1) (   3,    2) (   2,    1) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   2,    2)
          (   3,    3) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   2,    1) (   1,    1) (   1,    1) (   0,    1) (   0,    0)
          (   2,    1) (   2,    1) (   2,    1) (   2,    2) (   3,    4) (   2,    2) (   1,    1) (   0,    1) (   3,    2) (   1,    0)
          (   1,    2) (   2,    3) (   2,    1) (   1,    1) (   0,    1) (   2,    2) (   4,    3) (   1,    1) (   3,    3) (   2,    2)
          (   2,    2) (   2,    3) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   3,    3) (   4,    4) (   2,    2) (   2,    2)
          (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   2,    3) (   1,    0) (   4,    3)
          (   2,    2) (   1,    1) (   3,    3) (   1,    0) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   1,    1)
          (   2,    2) (   1,    1) (   0,    1) (   3,    3) (   3,    2) (   1,    1) (   3,    3) (   2,    2) (   1,    2) (   2,    2)
          (   1,    0) (   2,    2) (   0,    1) (   2,    2) (   2,    1) (   3,    3) (   1,    1) (   1,    2) (   1,    2) (   1,    0)
          (   1,    0) (   2,    3) (   1,    1) (   2,    2) (   3,    3) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   2,    2)
